pass_id,city_or_scope,product,status,live_price_krw,activation_or_validity,what_to_count,do_not_count,official_source,recheck_date
DSP-PICK3,Seoul,Discover Seoul Pass Pick 3,live-check,49000,5 days from activation,three attractions you would otherwise buy,food coupons or attractions you would not visit,https://www.discoverseoulpass.com,2026-10-17
DSP-72H,Seoul,Discover Seoul Pass 72-hour,live-check,90000,72 hours from activation,admission/transport/eSIM values actually used,unused benefits or separately charged add-ons,https://www.discoverseoulpass.com,2026-10-17
DSP-120H,Seoul,Discover Seoul Pass 120-hour,live-check,130000,120 hours from activation,admission/transport/eSIM values actually used,unused benefits or separately charged add-ons,https://www.discoverseoulpass.com,2026-10-17
CLIMATE-1D,Seoul,Climate Card 1-day,active,5000,same day loaded,eligible subway/bus rides,airport/intercity buses excluded rail and rides outside coverage,https://english.seoul.go.kr/climate-cards-and-single-journey-transit-tickets-now-accepting-international-credit-cards-no-cash-needed/,2026-10-17
CLIMATE-2D,Seoul,Climate Card 2-day,active,8000,2 days from loading,eligible subway/bus rides,airport/intercity buses excluded rail and rides outside coverage,https://english.seoul.go.kr/climate-cards-and-single-journey-transit-tickets-now-accepting-international-credit-cards-no-cash-needed/,2026-10-17
CLIMATE-3D,Seoul,Climate Card 3-day,active,10000,3 days from loading,eligible subway/bus rides,airport/intercity buses excluded rail and rides outside coverage,https://english.seoul.go.kr/climate-cards-and-single-journey-transit-tickets-now-accepting-international-credit-cards-no-cash-needed/,2026-10-17
CLIMATE-5D,Seoul,Climate Card 5-day,active,15000,5 days from loading,eligible subway/bus rides,airport/intercity buses excluded rail and rides outside coverage,https://english.seoul.go.kr/climate-cards-and-single-journey-transit-tickets-now-accepting-international-credit-cards-no-cash-needed/,2026-10-17
CLIMATE-7D,Seoul,Climate Card 7-day,active,20000,7 days from loading,eligible subway/bus rides,airport/intercity buses excluded rail and rides outside coverage,https://english.seoul.go.kr/climate-cards-and-single-journey-transit-tickets-now-accepting-international-credit-cards-no-cash-needed/,2026-10-17
VBP,Busan,Visit Busan Pass,live-check,,selected pass type activation,attractions and eligible discounts actually used,old partner reports or activities outside selected pass,https://www.visitbusanpass.com/,2026-10-17
BUSANPAY,Busan,Busan Pay,live-check,,merchant/payment specific,real cashback/discount at live participating merchant,merchant spend at malls/duty free or assumed cashback,https://www.busan.go.kr/bige/daily-busan/view?dataNo=69959&curPage=2&bbsNo=10&srchCl=Daily+Busan,2026-10-17
KORAIL,Nationwide,KORAIL PASS,live-check,,pass product specific,individual KORAIL train fares actually used,SRT metro special tourist trains,https://www.letskorail.com/ebizbf/EbizbfForeign_pr16100.do?gubun=1,2026-10-17
